origin_location;destination_location;coor_y;coor_x;distance_in_km;vehicle_type;tripfare
KOTA BANDUNG;KAB BOGOR;-6.5518;106.6291;122;Tronton Bak;3000000
KOTA BANDUNG;KAB CIREBON;-6.6899;108.4751;119;Ekonomi;461560
KOTA BANDUNG;KAB CIREBON;-6.6899;108.4751;119;MPV;471560
KOTA BANDUNG;KAB CIREBON;-6.6899;108.4751;119;Van;531998
KOTA BANDUNG;KAB CIREBON;-6.6899;108.4751;119;Double Engkel Pickup;1098600
KOTA BANDUNG;KAB CIREBON;-6.6899;108.4751;119;CDD Long;1435500
KOTA BANDUNG;KAB CIREBON;-6.6899;108.4751;119;Fuso Box;2129400
KOTA BANDUNG;KAB CIREBON;-6.6899;108.4751;119;Small Box;581755
KOTA BANDUNG;KAB CIREBON;-6.6899;108.4751;119;Pickup;554677
KOTA BANDUNG;KAB CIREBON;-6.6899;108.4751;119;Engkel Box;817145
KOTA BANDUNG;KAB CIREBON;-6.6899;108.4751;119;Fuso Bak;2129400
KOTA BANDUNG;KAB CIREBON;-6.6899;108.4751;119;Tronton Box;2483200
KOTA BANDUNG;KAB CIREBON;-6.6899;108.4751;119;Tronton Wing Box;2483200
KOTA BANDUNG;KAB CIREBON;-6.6899;108.4751;119;Engkel Pickup;918600
KOTA BANDUNG;KAB CIREBON;-6.6899;108.4751;119;Double Engkel Box;1098600
KOTA BANDUNG;KAB CIREBON;-6.6899;108.4751;119;Tronton Bak;2483200
KOTA BANDUNG;KAB CIREBON;-6.6899;108.4751;119;Tronton Bak;2483200
KOTA BANDUNG;KAB MAGELANG;-7.4305;110.2832;384;Ekonomi;1236016
KOTA BANDUNG;KAB MAGELANG;-7.4305;110.2832;384;MPV;1246016
KOTA BANDUNG;KAB MAGELANG;-7.4305;110.2832;384;Van;1359560
KOTA BANDUNG;KAB MAGELANG;-7.4305;110.2832;384;Double Engkel Pickup;2150376
KOTA BANDUNG;KAB MAGELANG;-7.4305;110.2832;384;CDD Long;2666200
KOTA BANDUNG;KAB MAGELANG;-7.4305;110.2832;384;Fuso Box;3979400
KOTA BANDUNG;KAB MAGELANG;-7.4305;110.2832;384;Small Box;1453068
KOTA BANDUNG;KAB MAGELANG;-7.4305;110.2832;384;Pickup;1393900
KOTA BANDUNG;KAB MAGELANG;-7.4305;110.2832;384;Engkel Box;1882156
KOTA BANDUNG;KAB MAGELANG;-7.4305;110.2832;384;Fuso Bak;3979400
KOTA BANDUNG;KAB MAGELANG;-7.4305;110.2832;384;Tronton Box;4386200
KOTA BANDUNG;KAB MAGELANG;-7.4305;110.2832;384;Tronton Wing Box;4386200
KOTA BANDUNG;KAB MAGELANG;-7.4305;110.2832;384;Engkel Pickup;1970376
KOTA BANDUNG;KAB MAGELANG;-7.4305;110.2832;384;Double Engkel Box;2150376
KOTA BANDUNG;KAB MAGELANG;-7.4305;110.2832;384;Tronton Bak;4386200
KOTA BANDUNG;KAB MAGELANG;-7.4305;110.2832;384;Tronton Bak;4386200
KOTA BANDUNG;KAB REMBANG;-6.8082;111.4276;498;Ekonomi;1535192
KOTA BANDUNG;KAB REMBANG;-6.8082;111.4276;498;MPV;1545192
KOTA BANDUNG;KAB REMBANG;-6.8082;111.4276;498;Van;1701560
KOTA BANDUNG;KAB REMBANG;-6.8082;111.4276;498;Double Engkel Pickup;2556672
KOTA BANDUNG;KAB REMBANG;-6.8082;111.4276;498;CDD Long;3048600
KOTA BANDUNG;KAB REMBANG;-6.8082;111.4276;498;Fuso Box;4673000
KOTA BANDUNG;KAB REMBANG;-6.8082;111.4276;498;Small Box;1789596
KOTA BANDUNG;KAB REMBANG;-6.8082;111.4276;498;Pickup;1724500
KOTA BANDUNG;KAB REMBANG;-6.8082;111.4276;498;Engkel Box;2282900
KOTA BANDUNG;KAB REMBANG;-6.8082;111.4276;498;Fuso Bak;4673000
KOTA BANDUNG;KAB REMBANG;-6.8082;111.4276;498;Tronton Box;5102600
KOTA BANDUNG;KAB REMBANG;-6.8082;111.4276;498;Tronton Wing Box;5102600
KOTA BANDUNG;KAB REMBANG;-6.8082;111.4276;498;Engkel Pickup;2321400
KOTA BANDUNG;KAB REMBANG;-6.8082;111.4276;498;Double Engkel Box;2556672
KOTA BANDUNG;KAB REMBANG;-6.8082;111.4276;498;Tronton Bak;5102600
KOTA BANDUNG;KAB REMBANG;-6.8082;111.4276;498;Tronton Bak;5102600
KOTA BANDUNG;KAB. BANDUNG;-7.1341;107.6215;31;Ekonomi;144000
KOTA BANDUNG;KAB. BANDUNG;-7.1341;107.6215;31;MPV;154000
KOTA BANDUNG;KAB. BANDUNG;-7.1341;107.6215;31;Van;195200
KOTA BANDUNG;KAB. BANDUNG;-7.1341;107.6215;31;Double Engkel Pickup;607000
KOTA BANDUNG;KAB. BANDUNG;-7.1341;107.6215;31;CDD Long;898000
KOTA BANDUNG;KAB. BANDUNG;-7.1341;107.6215;31;Fuso Box;1303000
KOTA BANDUNG;KAB. BANDUNG;-7.1341;107.6215;31;Small Box;224500
KOTA BANDUNG;KAB. BANDUNG;-7.1341;107.6215;31;Pickup;213300
KOTA BANDUNG;KAB. BANDUNG;-7.1341;107.6215;31;Engkel Box;380500
KOTA BANDUNG;KAB. BANDUNG;-7.1341;107.6215;31;Fuso Bak;1303000
KOTA BANDUNG;KAB. BANDUNG;-7.1341;107.6215;31;Tronton Box;1618500
KOTA BANDUNG;KAB. BANDUNG;-7.1341;107.6215;31;Tronton Wing Box;1618500
KOTA BANDUNG;KAB. BANDUNG;-7.1341;107.6215;31;Engkel Pickup;427000
KOTA BANDUNG;KAB. BANDUNG;-7.1341;107.6215;31;Double Engkel Box;607000
KOTA BANDUNG;KAB. BANDUNG;-7.1341;107.6215;31;Tronton Bak;1618500
KOTA BANDUNG;KAB. BANDUNG;-7.1341;107.6215;31;Tronton Bak;1618500
KOTA BANDUNG;KAB. BANJARNEGARA;-7.3794;109.6163;300;Ekonomi;1135600
KOTA BANDUNG;KAB. BANJARNEGARA;-7.3794;109.6163;300;MPV;1145600
KOTA BANDUNG;KAB. BANJARNEGARA;-7.3794;109.6163;300;Van;1227560
KOTA BANDUNG;KAB. BANJARNEGARA;-7.3794;109.6163;300;Double Engkel Pickup;2031000
KOTA BANDUNG;KAB. BANJARNEGARA;-7.3794;109.6163;300;CDD Long;2305000
KOTA BANDUNG;KAB. BANJARNEGARA;-7.3794;109.6163;300;Fuso Box;3665000
KOTA BANDUNG;KAB. BANJARNEGARA;-7.3794;109.6163;300;Small Box;1325100
KOTA BANDUNG;KAB. BANJARNEGARA;-7.3794;109.6163;300;Pickup;1270300
KOTA BANDUNG;KAB. BANJARNEGARA;-7.3794;109.6163;300;Engkel Box;1699000
KOTA BANDUNG;KAB. BANJARNEGARA;-7.3794;109.6163;300;Fuso Bak;3425000
KOTA BANDUNG;KAB. BANJARNEGARA;-7.3794;109.6163;300;Tronton Box;4055000
KOTA BANDUNG;KAB. BANJARNEGARA;-7.3794;109.6163;300;Tronton Wing Box;4055000
KOTA BANDUNG;KAB. BANJARNEGARA;-7.3794;109.6163;300;Engkel Pickup;1791000
KOTA BANDUNG;KAB. BANJARNEGARA;-7.3794;109.6163;300;Double Engkel Box;2031000
KOTA BANDUNG;KAB. BANJARNEGARA;-7.3794;109.6163;300;Tronton Bak;3815000
KOTA BANDUNG;KAB. BANJARNEGARA;-7.3794;109.6163;300;Tronton Bak;3815000
KOTA BANDUNG;KAB. BEKASI;-6.260359811;107.1191024;125;Ekonomi;740000
KOTA BANDUNG;KAB. BEKASI;-6.260359811;107.1191024;125;MPV;765000
KOTA BANDUNG;KAB. BEKASI;-6.260359811;107.1191024;125;Van;900000
KOTA BANDUNG;KAB. BEKASI;-6.260359811;107.1191024;125;Double Engkel Pickup;1400000
KOTA BANDUNG;KAB. BEKASI;-6.260359811;107.1191024;125;CDD Long;1942500
KOTA BANDUNG;KAB. BEKASI;-6.260359811;107.1191024;125;Fuso Box;2289000
KOTA BANDUNG;KAB. BEKASI;-6.260359811;107.1191024;125;Small Box;1000000
KOTA BANDUNG;KAB. BEKASI;-6.260359811;107.1191024;125;Pickup;900000
KOTA BANDUNG;KAB. BEKASI;-6.260359811;107.1191024;125;Engkel Box;1150000
KOTA BANDUNG;KAB. BEKASI;-6.260359811;107.1191024;125;Fuso Bak;2289000
KOTA BANDUNG;KAB. BEKASI;-6.260359811;107.1191024;125;Tronton Box;3000000
KOTA BANDUNG;KAB. BEKASI;-6.260359811;107.1191024;125;Tronton Wing Box;3000000
KOTA BANDUNG;KAB. BEKASI;-6.260359811;107.1191024;125;Engkel Pickup;1207500
KOTA BANDUNG;KAB. BEKASI;-6.260359811;107.1191024;125;Double Engkel Box;1400000
KOTA BANDUNG;KAB. BEKASI;-6.260359811;107.1191024;125;Tronton Bak;3000000
KOTA BANDUNG;KAB. BEKASI;-6.260359811;107.1191024;125;Tronton Bak;3000000
KOTA BANDUNG;KAB. PURWAKARTA;-6.5649;107.4322;68;Ekonomi;284800
KOTA BANDUNG;KAB. PURWAKARTA;-6.5649;107.4322;68;MPV;294800
KOTA BANDUNG;KAB. PURWAKARTA;-6.5649;107.4322;68;Van;343040
KOTA BANDUNG;KAB. PURWAKARTA;-6.5649;107.4322;68;Double Engkel Pickup;839000
KOTA BANDUNG;KAB. PURWAKARTA;-6.5649;107.4322;68;CDD Long;1158000
KOTA BANDUNG;KAB. PURWAKARTA;-6.5649;107.4322;68;Fuso Box;1706600
KOTA BANDUNG;KAB. PURWAKARTA;-6.5649;107.4322;68;Small Box;382900
KOTA BANDUNG;KAB. PURWAKARTA;-6.5649;107.4322;68;Pickup;364660
KOTA BANDUNG;KAB. PURWAKARTA;-6.5649;107.4322;68;Engkel Box;574100
KOTA BANDUNG;KAB. PURWAKARTA;-6.5649;107.4322;68;Fuso Bak;1706600
KOTA BANDUNG;KAB. PURWAKARTA;-6.5649;107.4322;68;Tronton Box;2040600
KOTA BANDUNG;KAB. PURWAKARTA;-6.5649;107.4322;68;Tronton Wing Box;2040600
KOTA BANDUNG;KAB. PURWAKARTA;-6.5649;107.4322;68;Engkel Pickup;659000
KOTA BANDUNG;KAB. PURWAKARTA;-6.5649;107.4322;68;Double Engkel Box;839000
KOTA BANDUNG;KAB. PURWAKARTA;-6.5649;107.4322;68;Tronton Bak;2040600
KOTA BANDUNG;KAB. PURWAKARTA;-6.5649;107.4322;68;Tronton Bak;2040600
KOTA BANDUNG;KAB. SUKABUMI;-6.8791;106.9474;98;Ekonomi;510640
KOTA BANDUNG;KAB. SUKABUMI;-6.8791;106.9474;98;MPV;520640
KOTA BANDUNG;KAB. SUKABUMI;-6.8791;106.9474;98;Van;576440
