origin_location;destination_location;vehicle_type;distance_in_km;tripfare
KOTA BANDUNG;KAB. TANGERANG;CDD Long;196;1782000
KOTA BANDUNG;KAB. TANGERANG;Fuso Box;196;2714600
KOTA BANDUNG;KAB. TANGERANG;Small Box;196;862420
KOTA BANDUNG;KAB. TANGERANG;Pickup;196;822868
KOTA BANDUNG;KAB. TANGERANG;Engkel Box;196;1160180
KOTA BANDUNG;KAB. TANGERANG;Fuso Bak;196;2714600
KOTA BANDUNG;KAB. TANGERANG;Tronton Box;196;3083800
KOTA BANDUNG;KAB. TANGERANG;Tronton Wing Box;196;3083800
KOTA BANDUNG;KAB. TANGERANG;Engkel Pickup;196;1257400
KOTA BANDUNG;KAB. TANGERANG;Double Engkel Box;196;1437400
KOTA BANDUNG;KAB. TANGERANG;Tronton Bak;196;3083800
KOTA BANDUNG;KAB. TANGERANG;Tronton Bak;196;3083800
KOTA BANDUNG;KAB. TASIKMALAYA;Ekonomi;114;565360
KOTA BANDUNG;KAB. TASIKMALAYA;MPV;114;575360
KOTA BANDUNG;KAB. TASIKMALAYA;Van;114;634988
KOTA BANDUNG;KAB. TASIKMALAYA;Double Engkel Pickup;114;1256600
KOTA BANDUNG;KAB. TASIKMALAYA;CDD Long;114;1413000
KOTA BANDUNG;KAB. TASIKMALAYA;Fuso Box;114;2331400
KOTA BANDUNG;KAB. TASIKMALAYA;Small Box;114;683530
KOTA BANDUNG;KAB. TASIKMALAYA;Pickup;114;657262
KOTA BANDUNG;KAB. TASIKMALAYA;Engkel Box;114;914870
KOTA BANDUNG;KAB. TASIKMALAYA;Fuso Bak;114;2091400
KOTA BANDUNG;KAB. TASIKMALAYA;Tronton Box;114;2684200
KOTA BANDUNG;KAB. TASIKMALAYA;Tronton Wing Box;114;2684200
KOTA BANDUNG;KAB. TASIKMALAYA;Engkel Pickup;114;1016600
KOTA BANDUNG;KAB. TASIKMALAYA;Double Engkel Box;114;1256600
KOTA BANDUNG;KAB. TASIKMALAYA;Tronton Bak;114;2444200
KOTA BANDUNG;KAB. TASIKMALAYA;Tronton Bak;114;2444200
KOTA BANDUNG;KAB. TUBAN;Ekonomi;569;1721496
KOTA BANDUNG;KAB. TUBAN;MPV;569;1731496
KOTA BANDUNG;KAB. TUBAN;Van;569;1914560
KOTA BANDUNG;KAB. TUBAN;Double Engkel Pickup;569;2809716
KOTA BANDUNG;KAB. TUBAN;CDD Long;569;3275800
KOTA BANDUNG;KAB. TUBAN;Fuso Box;569;5030000
KOTA BANDUNG;KAB. TUBAN;Small Box;569;1999188
KOTA BANDUNG;KAB. TUBAN;Pickup;569;1930400
KOTA BANDUNG;KAB. TUBAN;Engkel Box;569;2531400
KOTA BANDUNG;KAB. TUBAN;Fuso Bak;569;5030000
KOTA BANDUNG;KAB. TUBAN;Tronton Box;569;5542800
KOTA BANDUNG;KAB. TUBAN;Tronton Wing Box;569;5542800
KOTA BANDUNG;KAB. TUBAN;Engkel Pickup;569;2465400
KOTA BANDUNG;KAB. TUBAN;Double Engkel Box;569;2809716
KOTA BANDUNG;KAB. TUBAN;Tronton Bak;569;5542800
KOTA BANDUNG;KAB. TUBAN;Tronton Bak;569;5542800
KOTA BANDUNG;KABUPATEN BANDUNG BARAT;Ekonomi;19;96000
KOTA BANDUNG;KABUPATEN BANDUNG BARAT;MPV;19;106000
KOTA BANDUNG;KABUPATEN BANDUNG BARAT;Van;19;144800
KOTA BANDUNG;KABUPATEN BANDUNG BARAT;Double Engkel Pickup;19;523000
KOTA BANDUNG;KABUPATEN BANDUNG BARAT;CDD Long;19;802000
KOTA BANDUNG;KABUPATEN BANDUNG BARAT;Fuso Box;19;1147000
KOTA BANDUNG;KABUPATEN BANDUNG BARAT;Small Box;19;170500
KOTA BANDUNG;KABUPATEN BANDUNG BARAT;Pickup;19;161700
KOTA BANDUNG;KABUPATEN BANDUNG BARAT;Engkel Box;19;314500
KOTA BANDUNG;KABUPATEN BANDUNG BARAT;Fuso Bak;19;1147000
KOTA BANDUNG;KABUPATEN BANDUNG BARAT;Tronton Box;19;1456500
KOTA BANDUNG;KABUPATEN BANDUNG BARAT;Tronton Wing Box;19;1456500
KOTA BANDUNG;KABUPATEN BANDUNG BARAT;Engkel Pickup;19;343000
KOTA BANDUNG;KABUPATEN BANDUNG BARAT;Double Engkel Box;19;523000
KOTA BANDUNG;KABUPATEN BANDUNG BARAT;Tronton Bak;19;1456500
KOTA BANDUNG;KABUPATEN BANDUNG BARAT;Tronton Bak;19;1456500
KOTA BANDUNG;KABUPATEN BANGKALAN;Ekonomi;720;2117720
KOTA BANDUNG;KABUPATEN BANGKALAN;MPV;720;2127720
KOTA BANDUNG;KABUPATEN BANGKALAN;Van;720;2367560
KOTA BANDUNG;KABUPATEN BANGKALAN;Double Engkel Pickup;720;3347880
KOTA BANDUNG;KABUPATEN BANGKALAN;CDD Long;720;3759000
KOTA BANDUNG;KABUPATEN BANGKALAN;Fuso Box;720;5785000
KOTA BANDUNG;KABUPATEN BANGKALAN;Small Box;720;2444940
KOTA BANDUNG;KABUPATEN BANGKALAN;Pickup;720;2368300
KOTA BANDUNG;KABUPATEN BANGKALAN;Engkel Box;720;3059900
KOTA BANDUNG;KABUPATEN BANGKALAN;Fuso Bak;720;5785000
KOTA BANDUNG;KABUPATEN BANGKALAN;Tronton Box;720;6479000
KOTA BANDUNG;KABUPATEN BANGKALAN;Tronton Wing Box;720;6479000
KOTA BANDUNG;KABUPATEN BANGKALAN;Engkel Pickup;720;2767400
KOTA BANDUNG;KABUPATEN BANGKALAN;Double Engkel Box;720;3347880
KOTA BANDUNG;KABUPATEN BANGKALAN;Tronton Bak;720;6479000
KOTA BANDUNG;KABUPATEN BANGKALAN;Tronton Bak;720;6479000
KOTA BANDUNG;KABUPATEN BANTUL;Ekonomi;394;1980000
KOTA BANDUNG;KABUPATEN BANTUL;MPV;394;2005000
KOTA BANDUNG;KABUPATEN BANTUL;Van;394;2200000
KOTA BANDUNG;KABUPATEN BANTUL;Double Engkel Pickup;394;3000000
KOTA BANDUNG;KABUPATEN BANTUL;CDD Long;394;3700000
KOTA BANDUNG;KABUPATEN BANTUL;Fuso Box;394;4450000
KOTA BANDUNG;KABUPATEN BANTUL;Small Box;394;2300000
KOTA BANDUNG;KABUPATEN BANTUL;Pickup;394;2200000
KOTA BANDUNG;KABUPATEN BANTUL;Engkel Box;394;2300000
KOTA BANDUNG;KABUPATEN BANTUL;Fuso Bak;394;4450000
KOTA BANDUNG;KABUPATEN BANTUL;Tronton Box;394;5500000
KOTA BANDUNG;KABUPATEN BANTUL;Tronton Wing Box;394;5500000
KOTA BANDUNG;KABUPATEN BANTUL;Engkel Pickup;394;2300000
KOTA BANDUNG;KABUPATEN BANTUL;Double Engkel Box;394;3000000
KOTA BANDUNG;KABUPATEN BANTUL;Tronton Bak;394;5500000
KOTA BANDUNG;KABUPATEN BANTUL;Tronton Bak;394;5500000
KOTA BANDUNG;KABUPATEN BANYUMAS;Ekonomi;236;948976
KOTA BANDUNG;KABUPATEN BANYUMAS;MPV;236;958976
KOTA BANDUNG;KABUPATEN BANYUMAS;Van;236;1035560
KOTA BANDUNG;KABUPATEN BANYUMAS;Double Engkel Pickup;236;1777560
KOTA BANDUNG;KABUPATEN BANYUMAS;CDD Long;236;1981800
KOTA BANDUNG;KABUPATEN BANYUMAS;Fuso Box;236;3229800
KOTA BANDUNG;KABUPATEN BANYUMAS;Small Box;236;1115116
KOTA BANDUNG;KABUPATEN BANYUMAS;Pickup;236;1069660
KOTA BANDUNG;KABUPATEN BANYUMAS;Engkel Box;236;1442360
KOTA BANDUNG;KABUPATEN BANYUMAS;Fuso Bak;236;2989800
KOTA BANDUNG;KABUPATEN BANYUMAS;Tronton Box;236;3607000
KOTA BANDUNG;KABUPATEN BANYUMAS;Tronton Wing Box;236;3607000
KOTA BANDUNG;KABUPATEN BANYUMAS;Engkel Pickup;236;1537560
KOTA BANDUNG;KABUPATEN BANYUMAS;Double Engkel Box;236;1777560
KOTA BANDUNG;KABUPATEN BANYUMAS;Tronton Bak;236;3367000
KOTA BANDUNG;KABUPATEN BANYUMAS;Tronton Bak;236;3367000
KOTA BANDUNG;KABUPATEN BANYUWANGI;Ekonomi;935;2681880
KOTA BANDUNG;KABUPATEN BANYUWANGI;MPV;935;2691880
KOTA BANDUNG;KABUPATEN BANYUWANGI;Van;935;3012560
KOTA BANDUNG;KABUPATEN BANYUWANGI;Double Engkel Pickup;935;4114140
KOTA BANDUNG;KABUPATEN BANYUWANGI;CDD Long;935;4447000
KOTA BANDUNG;KABUPATEN BANYUWANGI;Fuso Box;935;6860000
KOTA BANDUNG;KABUPATEN BANYUWANGI;Small Box;935;3079620
KOTA BANDUNG;KABUPATEN BANYUWANGI;Pickup;935;2991800
KOTA BANDUNG;KABUPATEN BANYUWANGI;Engkel Box;935;3812400
KOTA BANDUNG;KABUPATEN BANYUWANGI;Fuso Bak;935;6860000
KOTA BANDUNG;KABUPATEN BANYUWANGI;Tronton Box;935;7812000
KOTA BANDUNG;KABUPATEN BANYUWANGI;Tronton Wing Box;935;7812000
KOTA BANDUNG;KABUPATEN BANYUWANGI;Engkel Pickup;935;3197400
KOTA BANDUNG;KABUPATEN BANYUWANGI;Double Engkel Box;935;4114140
KOTA BANDUNG;KABUPATEN BANYUWANGI;Tronton Bak;935;7812000
KOTA BANDUNG;KABUPATEN BANYUWANGI;Tronton Bak;935;7812000
KOTA BANDUNG;KABUPATEN BLORA;Ekonomi;483;1495832
KOTA BANDUNG;KABUPATEN BLORA;MPV;483;1505832
KOTA BANDUNG;KABUPATEN BLORA;Van;483;1656560
KOTA BANDUNG;KABUPATEN BLORA;Double Engkel Pickup;483;2503212
KOTA BANDUNG;KABUPATEN BLORA;CDD Long;483;3000600
KOTA BANDUNG;KABUPATEN BLORA;Fuso Box;483;4583000
KOTA BANDUNG;KABUPATEN BLORA;Small Box;483;1745316
KOTA BANDUNG;KABUPATEN BLORA;Pickup;483;1681000
KOTA BANDUNG;KABUPATEN BLORA;Engkel Box;483;2230400
KOTA BANDUNG;KABUPATEN BLORA;Fuso Bak;483;4583000
KOTA BANDUNG;KABUPATEN BLORA;Tronton Box;483;5009600
KOTA BANDUNG;KABUPATEN BLORA;Tronton Wing Box;483;5009600
KOTA BANDUNG;KABUPATEN BLORA;Engkel Pickup;483;2276400
KOTA BANDUNG;KABUPATEN BLORA;Double Engkel Box;483;2503212
